stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome
22,16-44-05,55,26.25,28.75,0,0,3
23,16-44-10,55,26.5,28.5,0,0,3
24,16-44-14,55,26.75,28.25,0,0,3
25,16-44-19,55,27.0,28.0,0,0,3
26,16-44-24,55,27.187,27.813,0,0,3
27,16-44-28,55,27.437,27.563,0,0,3
28,16-44-33,55,27.562,27.438,0,0,3
29,16-44-38,55,27.75,27.25,0,0,3
30,16-44-43,55,27.875,27.125,0,0,3
31,16-44-47,55,28.125,26.875,0,0,3
32,16-44-52,55,28.25,26.75,0,0,3
33,16-44-57,55,28.437,26.563,0,0,3
34,16-45-01,55,28.625,26.375,0,0,3
35,16-45-06,55,28.812,26.188,0,0,3
36,16-45-11,55,29.125,25.875,0,0,3
37,16-45-16,55,29.375,25.625,0,0,3
38,16-45-20,55,29.687,25.313,0,0,3
39,16-45-25,55,29.937,25.063,0,0,3
40,16-45-30,55,30.25,24.75,0,0,3
41,16-45-35,55,30.5,24.5,0,0,3
42,16-45-39,55,30.75,24.25,0,0,3
43,16-45-44,55,30.875,24.125,0,0,3
44,16-45-49,55,31.062,23.938,0,0,3
45,16-45-54,55,31.187,23.813,0,0,3
46,16-45-58,55,31.312,23.688,0,0,3
47,16-46-03,55,31.437,23.563,0,0,3
48,16-46-08,55,31.687,23.313,0,0,3
49,16-46-12,55,31.812,23.188,0,0,3
50,16-46-17,55,32.062,22.938000000000002,0,0,3
51,16-46-22,55,32.5,22.5,0,0,3
52,16-46-27,55,32.812,22.188000000000002,0,0,3
53,16-46-31,55,33.062,21.938000000000002,0,0,3
54,16-46-36,55,33.375,21.625,0,0,3
55,16-46-41,55,33.562,21.438000000000002,0,0,3
56,16-46-46,55,33.75,21.25,0,0,3
57,16-46-50,55,33.937,21.063000000000002,0,0,3
58,16-46-55,55,34.062,20.938000000000002,0,0,3
59,16-47-00,55,34.25,20.75,0,0,3
60,16-47-04,55,34.437,20.563000000000002,0,0,3
61,16-47-09,55,34.625,20.375,0,0,3
62,16-47-14,55,34.812,20.188000000000002,0,0,3
63,16-47-19,55,34.937,20.063000000000002,0,0,3
64,16-47-23,55,35.187,19.813000000000002,0,0,3
65,16-47-28,55,35.562,19.438000000000002,0,0,3
66,16-47-33,55,35.875,19.125,0,0,3
67,16-47-37,55,36.125,18.875,0,0,3
68,16-47-42,55,36.437,18.563000000000002,0,0,3
69,16-47-47,55,36.625,18.375,0,0,3
70,16-47-52,55,36.875,18.125,0,0,3
71,16-47-56,55,37.125,17.875,0,0,3
72,16-48-01,55,37.312,17.688000000000002,0,0,3
73,16-48-06,55,37.437,17.563000000000002,0,0,3
74,16-48-11,55,37.625,17.375,0,0,3
75,16-48-15,55,37.687,17.313000000000002,0,0,3
76,16-48-20,55,38.0,17.0,0,0,3
77,16-48-25,55,38.25,16.75,0,0,3
78,16-48-29,55,38.625,16.375,0,0,3
79,16-48-34,55,38.937,16.063000000000002,0,0,3
80,16-48-39,55,39.125,15.875,0,0,3
81,16-48-44,55,39.437,15.563000000000002,0,0,3
82,16-48-48,55,39.687,15.313000000000002,0,0,3
83,16-48-53,55,39.937,15.063000000000002,0,0,3
84,16-48-58,55,40.125,14.875,0,0,3
85,16-49-03,55,40.312,14.688000000000002,0,0,3
86,16-49-07,55,40.375,14.625,0,0,3
87,16-49-12,55,40.437,14.563000000000002,0,0,3
88,16-49-17,55,40.687,14.313000000000002,0,0,3
89,16-49-21,55,40.937,14.063000000000002,0,0,3
90,16-49-26,55,41.25,13.75,0,0,3
91,16-49-31,55,41.562,13.438000000000002,0,0,3
92,16-49-36,55,41.812,13.188000000000002,0,0,3
93,16-49-40,55,42.125,12.875,0,0,3
94,16-49-45,55,42.5,12.5,0,0,3
95,16-49-50,55,42.75,12.25,0,0,3
96,16-49-55,55,42.937,12.063000000000002,0,0,3
97,16-49-59,55,43.062,11.938000000000002,0,0,3
98,16-50-04,55,43.187,11.813000000000002,0,0,3
99,16-50-09,55,43.312,11.688000000000002,0,0,3
100,16-50-13,55,43.5,11.5,0,0,3
101,16-50-18,55,43.75,11.25,0,0,3
102,16-50-23,55,44.062,10.938000000000002,0,0,3
103,16-50-28,55,44.312,10.688000000000002,0,0,3
104,16-50-32,55,44.562,10.438000000000002,0,0,3
105,16-50-37,55,44.812,10.188000000000002,0,0,3
106,16-50-42,55,45.125,9.875,0,0,3
107,16-50-47,55,45.375,9.625,0,0,3
108,16-50-51,55,45.5,9.5,0,0,3
109,16-50-56,55,45.687,9.313000000000002,0,0,3
110,16-51-01,55,45.812,9.188000000000002,0,0,3
111,16-51-06,55,46.0,9.0,0,0,3
112,16-51-10,55,46.125,8.875,0,0,3
113,16-51-15,55,46.312,8.688000000000002,0,0,3
114,16-51-20,55,46.562,8.438000000000002,0,0,3
115,16-51-25,55,46.75,8.25,0,0,3
116,16-51-29,55,47.062,7.938000000000002,0,0,3
117,16-51-34,55,47.375,7.625,0,0,3
118,16-51-39,55,47.75,7.25,0,0,3
119,16-51-43,55,47.937,7.063000000000002,0,0,3
